id,call_sign,code,name,country_name
618,IBERIA,IB,Iberia Airlines,Spain
619,IBEREXPRESS,I2,Iberia Express,Spain
620,IBERWORLD,TY,Iberworld,Spain
621,IBEX,FW,Ibex Airlines,Japan
622,NORTRANS,D8,Norwegian Air International (Norway),Norway
623,ICEAIR,FI,Icelandair,Iceland
624,ILIAMNA AIR,V8,Iliamna Air Taxi,United States
625,INDEPENDENCE AIR,DH,Independence Air,United States
626,IFLY,6E,IndiGo Airlines,India
627,INDAIR,IC,Indian Airlines,India
628,INDIGO BLUE,I9,Indigo Airlines,United States
629,WAGON AIR,QZ,Indonesia AirAsia,Indonesia
630,INDO LINES,IO,Indonesian Airlines,Indonesia
631,ZIMEX,C4,Zimex Aviation,Switzerland
632,INLINE,D6,Interair South Africa,South Africa
633,ASTAIR,ZA,Interavia Airlines,Russia
634,CONTAVIA,RS,Intercontinental de Aviacicn,Colombia
635,INTERLINK,ID,Interlink Airlines,South Africa
636,INTERBIZ,6I,International Business Air,Sweden
